id,trigger,conditions,script,text,options,notes
"#RULESET_NAME NSKR",,,,,,
,,,,,,
# BAR FIXER,,,,,,
BarFixerEntered,AddBarEvents,,"nskr_barEventFixer",,,
"#END BAR FIXER",,,,,,
,,,,,,
# HEART FIXER,,,,,,
HeartFixer,MarketPostDock,"$hasMarket
$market.id == nskr_heart score:1000","$menuState = main 0
FireAll PopulateOptions
nskr_heartFixer

",,,
HeartFixerReturn,MarketPostOpen,"$hasMarket
$market.id == nskr_heart score:1000","$tradeMode = NONE 0
FireBest MarketPostDock
nskr_heartFixer",,,
"#END HEART FIXER",,,,,,
,,,,,,
# RULES BASED SCRIPT DIALOGS,,,,,,
,,,,,,
# KESTEVEN QUESTLINE,,,,,,
# Entry,,,,,,
nskr_kq_hubChatOption,PopulateOptions,"$tag:k_quest
nskr_quest kq check hubOpen
!nskr_quest kq flag ENDED
!nskr_quest kq is COMPLETED FAILED",,,nskr_kq_chat:Chat about operations work,
,,,,,,
# Jack,,,,,,
nskr_kq_jackChat,DialogOptionSelected,"$option == nskr_kq_chat
$id == nskr_opguy","FireBest nskr_kqJackGreeting
FireBest nskr_kqJackStatus
FireAll nskr_kqJackOptions",,,
nskr_kq_jackChatJob1Tip,DialogOptionSelected,"$option == nskr_kq_chat
$id == nskr_opguy
nskr_quest kq is JOB1_ACTIVE
!nskr_quest kq flag JOB1_SENSOR_DATA
!nskr_quest kq check job1Cargo
!nskr_quest kq flag JOB1_TIP_GIVEN","nskr_quest kq do pickJob1Tip
FireBest nskr_kqJackGreeting
FireBest nskr_kqJackStatus
FireAll nskr_kqJackOptions",,,"Picks the job 1 tip system where the old dialog did, before nskr_kq_jackStatusJob1Tip tests job1TipKnown."
,,,,,,
nskr_kq_jackGreeting,nskr_kqJackGreeting,$nskr_kq_introduced,,"""Hmmm. Let me check around.""",,
nskr_kq_jackIntro,nskr_kqJackGreeting,!$nskr_kq_introduced,"AddText ""\""What can I do for you captain?\""""
$nskr_kq_introduced = true","On the holodisplay you are met with a charismatic smile from officer Lapua. A well groomed man, his manners have that corporate superficiality down to a perfection.",,
,,,,,,
nskr_kq_jackStatus,nskr_kqJackStatus,,FireBest nskr_kqNoJobs,,,Fallback.
