id,trigger,conditions,script,text,options,notes
"#RULESET_NAME NSKR",,,,,,
,,,,,,
# BAR FIXER,,,,,,
BarFixerEntered,AddBarEvents,,"nskr_barEventFixer",,,
"#END BAR FIXER",,,,,,
,,,,,,
# HEART FIXER,,,,,,
HeartFixer,MarketPostDock,"$hasMarket
$market.id == nskr_heart score:1000","$menuState = main 0
FireAll PopulateOptions
nskr_heartFixer

",,,
HeartFixerReturn,MarketPostOpen,"$hasMarket
$market.id == nskr_heart score:1000","$tradeMode = NONE 0
FireBest MarketPostDock
nskr_heartFixer",,,
"#END HEART FIXER",,,,,,
,,,,,,
# RULES BASED SCRIPT DIALOGS,,,,,,
,,,,,,
# kesteven QUEST options,,,,,,
nskr_kestevenQuest,PopulateOptions,"$tag:k_quest
nskr_kestevenQuest hasOption
nskr_isAtMostKStage 19",,,"nskr_kestevenQuestContinue:Chat about operations work",
nskr_kestevenQuestContinue,DialogOptionSelected,"$option == nskr_kestevenQuestContinue","nskr_kestevenQuest getStage",,"nskr_kestevenQuestStart:Continue",
nskr_kestevenQuestOptions,DialogOptionSelected,"nskr_optionStartsWith ""nskr_kestevenQuest_pick_""","nskr_kestevenQuest advanceStage
SetShortcut nskr_kestevenQuestCancel ""ESCAPE""
",,"nskr_kestevenQuestConfirmQuest:Continue
nskr_kestevenQuestExit:Go back",
nskr_kestevenQuestOptionsSP,DialogOptionSelected,"nskr_optionStartsWith ""nskr_kestevenQuest_story_pick_""","nskr_kestevenQuest advanceStageReqSkip
SetShortcut nskr_kestevenQuestCancel ""ESCAPE""
",,"nskr_kestevenQuestConfirmQuest:Continue
nskr_kestevenQuestExit:Go back",
nskr_kestevenQuestOptionsStorySkip,DialogOptionSelected,"nskr_optionStartsWith ""nskr_kestevenQuest_story_skip_pick_""","nskr_kestevenQuest advanceStageStorySkip",,,
nskr_kestevenQuestExtraDialogueStart,DialogOptionSelected,"nskr_optionStartsWith ""nskr_kestevenQuest_extraStart_""","nskr_kestevenQuest extraDialogueStart
SetShortcut nskr_kestevenQuestCancel ""ESCAPE""","""What do you need to know?""",,
nskr_kestevenQuestExtraDialogue,DialogOptionSelected,"nskr_optionStartsWith ""nskr_kestevenQuest_extra_""","nskr_kestevenQuest extraDialogue
SetShortcut nskr_kestevenQuestCancel ""ESCAPE""",,,
